wallet,raw_score,credit_score
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,5.67780472113163e-12,471
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,5.67780472113163e-10,471
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,0.08516606266250004,571
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,1.2108584225201653e-08,471
0x000e840a3122ec28d0c29321db172375cb049762,0.14925593599058976,647
0x000e9bd1d42999446d60ff60f1fb3afb13604202,0.14916765867538365,647
0x000eab293e332bd6e67018a9150e8807bfac3233,6.813365665357956e-09,471
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,3.1795706438337125e-07,471
0x000f4432a40560bbff1b581a8b7aded8dab80026,0.14927930772460435,647
0x000f7f22bfc28d940d4b68e13213ab17cf107790,0.380986611126538,920
0x000f908720f9ce164d90f4fc89459fab4442907f,0.1491716381654056,647
0x000fbfec300959d0f2f327728a889c1f5de8e2df,0.14921356744638156,647
0x0011730224657eb527cf736039854c3a3f140e63,0.1491834362638291,647
0x00120ea6fdbaf057eadc1bd149f957488444e92c,0.1491592304190376,647
0x0012668072f7e0579caf7e047713d8b6d476d0db,1.703341416339489e-08,471
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,0.020009112992624423,495
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0.0,471
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,5.257647171767889e-10,471
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,1.3941236289828836e-20,471
0x0014dfac19477a83d7354e6eaac28642c1959398,0.14920400278835066,647
0x001589fe1923c2118f34e4277f2ef650fcbf0161,2.35100381010098e-05,471
0x00159370cbe576b765a7fb2e78582e0cb563d445,8.163671148366825e-06,471
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,8.021177810221626e-20,471
0x0016469a65facda9e86fd0ae0e9661128843c224,1.2547948433700902e-10,471
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,5.46772594644976e-10,471
0x00183135585d70a523d61b2e43037a7138b36906,7.599239358298286e-05,471
0x00184e8aa1e95f491f2d9601e12b540092160ded,0.14915846726589724,647
0x0018583d7654803d2c59467e10dec5f70bbe1851,1.4762292274968356e-12,471
0x001875a076b3cfe1c9535d76b0345c16e3d61118,1.2491170386489585e-20,471
0x0018d044b946ede86b43bb3b964a45772a5abeb9,0.14915850104347017,647
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0.29850100186873013,822
0x0019bd9f6142943f3a03a8a62d0001a95213f555,5.67780472113163e-10,471
0x001b024b98ee862aa01eea595c4c16a0213d2611,2.338674454924596e-09,471
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,0.14924114449597742,647
0x001bc97d92e1a30b02d4e75be25f06063555d556,0.14992778562300876,647
0x001be549fa377710b9e59d57bbdf593ce1e379ca,3.543376037736171e-11,471
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,1.1355609442263315e-08,471
0x001d2a3192a49e28cac0a7abcaa916648c62b982,3.668511405533276e-11,471
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,6.2971794047457155e-21,471
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1.0495422027011818e-22,471
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,5.217337101236414e-06,471
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1.3503522968267357e-22,471
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0.0,471
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,6.445674375666156e-09,471
0x00222d56e0509a5e9ab05c588c548290a5e9f876,2.5212213261710453e-11,471
0x002379916ac42a432f3b53f16782d33267debb4c,8.516707081697445e-09,471
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,1.2491170386489585e-20,471
0x0023d9ffe7d793895c5da5833d56c737832ead2b,8.515414813342916e-20,471
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,2.838444729505292e-20,471
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,7.168229318037207e-11,471
0x0024461e7a8ce7157866eaa4c24b702d328250ce,0.0,471
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1.4194511802829074e-10,471
0x00246f7813397868b1beec56e1677efa47816dae,0.14933381819238462,647
0x0025a856d01a898bd52286d56c52323b13937b65,5.67780472113163e-10,471
0x00261d225db379b3fc74cd0228d6f90582d39035,1.9418092146270175e-10,471
0x00262ffcfda82b5582d1905ca05b849f196b0419,0.1492004220368134,647
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,2.5564095542177703e-12,471
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1.0515169431831914e-20,471
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,5.507470579497681e-10,471
0x002775390698ef16589bb22bba37ae7906ae2f36,0.007002658113945513,479
