wallet,num_transactions,total_deposit,total_borrow,total_repay,total_redeem,num_liquidations,repay_ratio,borrow_deposit_ratio,liquidation_rate
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1,450246121481307.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1,1851978.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1,9.7e+16,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002775390698ef16589bb22bba37ae7906ae2f36,30,8.138977148594979e+19,6.8201720166501695e+19,3.201720166501698e+18,11640428.0,0,0.04694485943588079,0.8379642665328686,0.0
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1,1880888.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0027f7335d610f15b325baa5798414548720fcaa,13,2.0055276752177456e+17,1518992970.0,1519063995.0,4100077779.0,0,1.00004675795175,7.574031457008336e-09,0.0
0x00283b611db7844cb5677b311afd67c8e3078518,1,7200645.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1,4.72e+16,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,2.6e+18,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1,1107978.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002aea16059a7d4bef638a03b61a9e80ef07e745,41,1.430619659525877e+21,6.74381785819342e+20,15406926.0,2.4554426788681477e+21,0,2.2845999586541786e-14,0.4713913871719333,0.0
0x002bb13a55bf4525f02717708dd4534ecc475193,2,3145177.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1,1151220.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,5,1.000000000005134e+18,2726309.0,2726309.0,5133916.0,0,1.0,2.726308999986003e-12,0.0
0x002d2715b179d0db3e17cc28317a98f2f65e6884,253,7.932648299989014e+22,3.3426624892930284e+22,8.000894335516522e+21,3.93638891049569e+22,0,0.239356930624746,0.42138039692212975,0.0
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1,4674990964187967.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,29,1.52000000000005e+22,4500000000.0,1380602617.0,1503137603.0,0,0.30680058155555556,2.9605263157893767e-13,0.0
0x002de04d579930686698abab5f48bda0b24fb9fc,85,9.561601228095397e+21,42533281825.0,42583466718.0,1.7769797761859955e+19,0,1.0011798970323165,4.448342993014814e-12,0.0
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,4,2.1457e+22,2.5e+21,2.5e+21,2.1457e+22,0,1.0,0.11651209395535256,0.0
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,6,15000000.0,0.0,0.0,8.508163251333022e+19,0,0.0,0.0,0.0
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,1,12183.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,108,3.8119796786499373e+21,1.500000000029125e+20,2509969106.0,1.8199992905966929e+21,0,1.6733127373008433e-11,0.039349632644431344,0.0
0x0030040e8d836ac3e546c354f9b373e70a14deeb,2,0.0,0.0,0.0,44842195767.0,0,0.0,0.0,0.0
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,58,9.647786848111267e+21,4.95000000000615e+21,0.0,0.0,0,0.0,0.5130710366984532,0.0
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1,6764030347976762.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,3,197000000.0,0.0,0.0,197981473.0,0,0.0,0.0,0.0
0x003094a91a3b5523bc601b221f80183bd347e9ae,2,2200000.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,1,165694780930095.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,67,9.44067062908613e+22,5.404812000007117e+22,5.417605170497536e+22,9.454069e+22,0,1.002366996389588,0.572502972760772,0.0
0x0030de8f624d2b2513c6dbbff788bb109b80304d,1,512154521788658.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,2,32765593476.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0030ee334630838ea4dee0b4b6ecbc973529031f,16,4.145e+21,5.500000000038e+20,1806279483.0,0.0,0,3.2841445145227643e-12,0.1326899879381906,0.0
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1,1.0711849113594033e+18,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00326e37cef76788f6b0cf643c94481d60bd3d58,2,3e+19,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,523,2.0523579688830937e+24,3.7556284400034154e+24,4.338433215427062e+23,3.450285449372011e+23,0,0.11551816918883266,1.8299090592111726,0.0
0x003325d3054cd7668fb16f19ea11bae6d02a474c,5,0.0,0.0,0.0,2005930544632.0,0,0.0,0.0,0.0
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,162,5.283732265103469e+25,3.49646e+25,3.5002998465161114e+25,5.287255563412144e+25,0,1.0010982097653374,0.6617405698415967,0.0
0x0034d2a08772822866b08d2c585e5c8e25723760,1,4.76e+20,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,5,0.0,0.0,0.0,6.548688628031852e+19,0,0.0,0.0,0.0
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,26,1.40438995854961e+21,3.332233623786781e+20,913894665.0,1723511961.0,0,2.742588810329096e-12,0.2372726751213858,0.0
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,1,1e+19,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0036534c48a754163f0f446601f36bcfda840f57,27,6.764733088455185e+20,1.6500000000125e+20,1.5004200209250887e+20,2.264692104628697e+20,0,0.9093454672204375,0.24391206252149397,0.0
0x00368bb9dba2ee83f3553feae59710b9c3743e09,11,6.009616576102522e+20,5e+20,0.0,199852176.0,0,0.0,0.8319998350448343,0.0
0x0036a2f1f6136bb9d7992f7def692126a279e702,1,3992596985892630.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,43,1.8875272977127176e+21,2.020000000002401e+21,1.4002145576161926e+21,7.999950775844998e+20,0,0.6931755235715487,1.0701831981186245,0.0
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,12,1.4036387132020113e+21,4.274986215513806e+20,4.311109504544958e+20,1.4005734188325014e+21,0,1.0084499194172982,0.30456457030610207,0.0
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1,1843331.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,9,49613617892.0,0.0,0.0,49624041277.0,0,0.0,0.0,0.0
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,28,3.863706220943507e+19,6.304403429841318e+19,0.0,1.5776377328972968e+19,1,0.0,1.6316984442729705,0.07692307692307693
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1,1100000.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00389de87cae34a6f89e13cc8225c4984add8b37,610,1.484552936699508e+24,1.258220767454138e+24,1423714851667.0,2.0911005927950745e+22,0,1.1315302437327591e-12,0.8475418668811118,0.0
0x0039e71541bdc798d062346bce94230bf519bb72,2,3.25e+16,5000000000000000.0,0.0,0.0,0,0.0,0.15384615384615385,0.0
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,6,9.960000000008995e+21,0.0,0.0,9.000000000014995e+21,0,0.0,0.0,0.0
0x003a85c562730b196f7cba202a2515f2ff855736,177,3.977519507196101e+23,5.0000000003232e+21,5.000087055004988e+21,6.387591904815039e+21,0,1.0000174109363564,0.01257064859462596,0.0
